,food items,Allergy,Avg Serving Size,Calories,Category,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K,Serving_Size_Grams,Calories_per_100g,Carbs_per_100g,Total Fat_per_100g,Saturated Fat_per_100g,Protein_per_100g,Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Sugar_per_100g,Potassium_per_100g,Magnesium_per_100g,Phosphorus_per_100g,Vitamin C_per_100g,Vitamin A_per_100g,Calcium_per_100g,Iron_per_100g,Zinc_per_100g,Vitamin E_per_100g,Vitamin K_per_100g
0,Almond,Nut Allergy,28.0,161.28,Healthy Fats,6.076,13.832,1.036,5.936,3.5,0.0,0.28,1.232,205.24,75.6,135.52,0.0,0.28,73.92,1.036,0.868,7.168,0.0,28.0,576.0,21.7,49.400000000000006,3.6999999999999997,21.2,12.5,0.0,1.0,4.3999999999999995,733.0,270.0,484.00000000000006,0.0,1.0,264.0,3.6999999999999997,3.1,25.6,0.0
1,Apple,Oral Allergy Syndrome,182.0,94.64,Fruits,25.48,0.364,0.182,0.546,4.368,0.0,0.0,18.2,194.74,9.1,20.02,8.372,10.92,0.3276,4.004,10.92,0.182,0.091,182.0,52.0,14.000000000000002,0.2,0.1,0.3,2.4,0.0,0.0,10.0,107.0,5.0,11.0,4.6,6.0,0.18,2.1999999999999997,6.0,0.1,0.05
2,Apricot,Stone Fruit Allergy,55.0,26.4,Fruits,6.05,0.22,0.0,0.77,1.1,0.0,0.55,4.95,142.45,5.5,12.65,5.5,1059.3,0.4895,1.705,7.15,0.2145,0.11,55.0,48.0,11.0,0.4,0.0,1.4000000000000001,2.0,0.0,1.0,9.0,259.0,10.0,23.0,10.0,1925.9999999999998,0.89,3.1,13.0,0.38999999999999996,0.2
4,Asparagus,Allium Allergy,100.0,20.0,Vegetables,3.88,0.16,0.05,2.2,2.1,0.0,2.0,1.88,202.0,14.0,52.0,5.6,756.0,0.16,41.6,20.0,1.14,0.54,100.0,20.0,3.88,0.16,0.05,2.2,2.1,0.0,2.0,1.8799999999999997,202.0,14.000000000000002,52.0,5.6,756.0,0.16,41.6,20.0,1.14,0.54
5,Avocado,Oral Allergy Syndrome,30.0,48.0,Fruits,2.7,0.6,0.09,0.6,0.6,0.0,0.0,0.06,75.0,8.7,15.6,3.0,2.1,0.621,6.3,3.6,0.18,0.18,30.0,160.0,9.000000000000002,2.0,0.3,2.0,2.0,0.0,0.0,0.2,250.0,28.999999999999996,52.0,10.0,7.000000000000001,2.07,21.0,12.000000000000002,0.6,0.6
7,Banana,Banana Allergy,118.0,105.02,Fruits,27.14,0.354,0.118,1.298,3.068,0.0,1.18,14.16,422.44,31.86,25.96,10.266,1.18,0.118,0.59,5.9,0.354,0.177,118.0,89.0,23.0,0.3,0.1,1.1,2.6,0.0,1.0,12.0,358.0,27.0,22.0,8.7,1.0,0.1,0.5,5.0,0.3,0.15
15,Broccoli,Broccoli allergy,91.0,30.94,Vegetables,6.006,0.364,0.091,2.548,2.366,0.0,30.03,1.547,287.56,19.11,60.06,81.172,566.93,0.7098,92.456,42.77,0.6643,0.5915,91.0,34.0,6.6000000000000005,0.4,0.1,2.8000000000000003,2.6,0.0,33.0,1.6999999999999997,316.0,21.0,66.0,89.2,623.0,0.7799999999999999,101.6,47.0,0.73,0.65
19,Butter,Milk allergy / Lactose intolerance,7.05,49.35,Dairy,0.0432,58.3992,36.9864,0.612,0.0,154.8,492.48,0.0432,17.28,1.44,17.28,0.0,1799.28,1.6704,5.04,17.28,0.0144,0.0648,7.05,700.0,0.6127659574468086,828.3574468085106,524.6297872340426,8.680851063829788,0.0,2195.744680851064,6985.531914893618,0.6127659574468086,245.10638297872345,20.425531914893615,245.10638297872345,0.0,25521.702127659573,23.693617021276598,71.48936170212767,245.10638297872345,0.20425531914893616,0.9191489361702128
23,Cabbage,Cruciferous Allergy,70.0,17.5,Vegetables,4.06,0.07,0.0,0.91,1.75,0.0,12.6,2.24,119.0,8.4,18.2,25.62,68.6,0.105,53.2,28.0,0.329,0.126,70.0,25.0,5.8,0.1,0.0,1.3,2.5,0.0,18.0,3.2,170.0,12.000000000000002,26.0,36.6,97.99999999999999,0.15,76.0,40.0,0.47000000000000003,0.18
29,Cauliflower,Cruciferous Allergy,100.0,25.0,Vegetables,5.0,0.3,0.1,2.0,2.3,0.0,30.0,1.9,299.0,15.0,44.0,48.2,0.0,0.08,15.5,22.0,0.42,0.29,100.0,25.0,5.0,0.3,0.1,2.0,2.3,0.0,30.0,1.9,299.0,15.0,44.0,48.2,0.0,0.08,15.5,22.0,0.42,0.29
30,Celery,Hypersensitivity,101.0,16.16,Vegetables,3.03,0.202,0.0,0.707,1.616,0.0,80.8,1.818,262.6,11.11,24.24,3.131,453.49,0.3636,29.593,40.4,0.202,0.101,101.0,16.0,3.0,0.2,0.0,0.7,1.6,0.0,80.0,1.8000000000000003,260.0,11.0,24.0,3.0999999999999996,449.0,0.36,29.299999999999997,40.0,0.2,0.1
31,Cheese,Milk allergy / Lactose intolerance,36.0,145.08,Dairy,0.468,11.916,7.416,8.964,0.0,37.8,223.56,0.18,35.28,10.08,184.32,0.0,257.4,0.216,0.756,259.56,0.144,1.116,36.0,403.0,1.3,33.1,20.6,24.9,0.0,104.99999999999999,621.0,0.5,98.0,28.000000000000004,512.0,0.0,715.0,0.6,2.1,721.0,0.4,3.1000000000000005
32,Cherry,Stone Fruit Allergy,140.0,70.0,Fruits,16.8,0.42,0.0,1.4,2.8,0.0,0.0,14.0,242.2,12.6,23.8,9.8,89.6,0.098,2.94,18.2,0.42,0.14,140.0,50.0,12.000000000000002,0.3,0.0,1.0,2.0,0.0,0.0,10.0,173.0,9.0,17.0,7.000000000000001,64.0,0.06999999999999999,2.1,13.0,0.3,0.1
33,Chestnut,Nut Allergy,84.0,178.92,Healthy Fats,38.2536,1.8984,0.3696,2.4444,6.804,0.0,3.36,6.7872,497.28,86.52,232.68,27.72,0.0,22.68,0.9828,0.7812,0.21,4.452,84.0,213.0,45.54,2.2600000000000002,0.43999999999999995,2.9099999999999997,8.1,0.0,4.0,8.080000000000002,592.0,103.0,277.0,32.99999999999999,0.0,27.0,1.17,0.9299999999999999,0.25,5.3
42,Cranberry,Salicylate Allergy,100.0,46.0,Fruits,12.0,0.1,0.0,0.4,4.6,0.0,2.0,4.0,85.0,6.0,13.0,13.3,60.0,1.2,5.0,8.0,0.25,0.1,100.0,46.0,12.0,0.1,0.0,0.4,4.6,0.0,2.0,4.0,85.0,6.0,13.0,13.3,60.0,1.2,5.0,8.0,0.25,0.1
43,Cream,Milk allergy / Lactose intolerance,97.0,329.8,Dairy,3.298,33.95,21.34,2.522,0.0,101.85,27.16,3.298,95.06,4.85,63.05,0.0,1455.0,0.2328,0.485,107.67,0.097,0.388,97.0,340.0,3.4000000000000004,35.0,22.0,2.6,0.0,105.0,28.000000000000004,3.4000000000000004,98.0,5.0,65.0,0.0,1500.0,0.24000000000000002,0.5,111.00000000000001,0.1,0.4
52,Eggs,Poultry Allergy,50.0,71.5,Non-veg Protien,0.55,4.75,1.35,6.3,0.0,186.5,71.0,0.05,69.0,5.0,101.0,0.0,74.5,25.0,1.35,0.65,0.55,0.0,50.0,143.0,1.1,9.5,2.7,12.6,0.0,373.0,142.0,0.1,138.0,10.0,202.0,0.0,149.0,50.0,2.7,1.3,1.1,0.0
53,Endive,Insulin Allergy,100.0,17.0,Vegetables,3.4,0.2,0.0,1.3,3.1,0.0,22.0,0.3,314.0,15.0,49.0,6.5,2816.0,0.44,231.0,52.0,1.5,0.3,100.0,17.0,3.4000000000000004,0.2,0.0,1.3,3.1,0.0,22.0,0.3,314.0,15.0,49.0,6.5,2816.0,0.44,231.0,52.0,1.5,0.3
55,Garlic,Allium Allergy,3.0,4.47,Vegetables,0.993,0.015,0.003,0.192,0.063,0.0,0.51,0.03,12.03,0.75,4.59,0.936,0.27,0.0024,0.051,5.43,0.051,0.0243,3.0,149.0,33.1,0.5,0.1,6.4,2.1,0.0,17.0,1.0,401.0,25.0,153.0,31.2,9.000000000000002,0.07999999999999999,1.6999999999999997,180.99999999999997,1.6999999999999997,0.8099999999999999
58,Ginkgo nut,Nut Allergy,28.0,50.96,Healthy Fats,10.752,0.5012,0.0644,1.3748,0.756,0.0,0.28,0.2324,186.76,25.48,40.04,0.0,0.0,3.64,0.392,0.252,0.4032,0.0,28.0,182.0,38.4,1.79,0.22999999999999998,4.91,2.7,0.0,1.0,0.83,667.0,91.0,143.0,0.0,0.0,13.0,1.4000000000000001,0.8999999999999999,1.44,0.0
63,Grapefruit,Citrus Allergy,154.0,64.68,Fruits,16.94,1.694,0.0,1.232,3.08,0.0,0.0,13.86,255.64,16.94,27.72,48.048,177.1,0.2002,0.154,13.86,0.154,0.1078,154.0,42.00000000000001,11.000000000000002,1.0999999999999999,0.0,0.8,2.0,0.0,0.0,9.0,166.0,11.000000000000002,18.0,31.2,114.99999999999999,0.13,0.1,9.0,0.1,0.06999999999999999
67,Guava,Oral Allergy Syndrome,55.0,20.9,Fruits,4.95,0.33,0.11,0.77,1.65,0.0,1.1,2.75,142.45,7.7,9.35,125.565,343.2,0.4015,1.43,9.9,0.143,0.1265,55.0,37.99999999999999,9.0,0.6,0.2,1.4000000000000001,3.0,0.0,2.0,5.0,259.0,14.000000000000002,17.0,228.29999999999998,624.0,0.73,2.6,18.0,0.26,0.22999999999999998
72,Horseradish,Cruciferous Allergy,46.0,22.08,Vegetables,5.1934,0.322,0.03266,0.5428,1.518,0.0,12.42,2.5162,113.16,8.28,13.34,11.454,0.0,0.115,0.322,25.76,0.368,0.2024,46.0,48.0,11.29,0.7000000000000001,0.07100000000000001,1.18,3.3000000000000003,0.0,27.0,5.47,246.0,18.0,28.999999999999996,24.900000000000002,0.0,0.25,0.7000000000000001,56.00000000000001,0.8,0.44
78,Kale,Cruciferous Allergy,75.0,24.75,Vegetables,5.025,0.45,0.075,2.175,0.975,0.0,21.75,0.0,246.75,23.25,41.25,60.0,5109.0,0.75,291.75,11.25,0.75,0.375,75.0,33.0,6.7,0.6,0.1,2.9,1.3,0.0,28.999999999999996,0.0,329.0,31.0,55.00000000000001,80.0,6812.0,1.0,389.0,15.0,1.0,0.5
80,Kiwi,Oral Allergy Syndrome,76.0,46.36,Fruits,11.4,1.976,0.304,0.684,1.596,0.0,2.28,6.84,180.12,9.12,17.48,70.452,66.12,1.1096,30.628,2.28,0.228,0.076,76.0,61.0,15.0,2.6,0.4,0.9000000000000001,2.1,0.0,3.0,9.0,237.0,12.0,23.0,92.69999999999999,87.00000000000001,1.4599999999999997,40.300000000000004,3.0,0.3,0.1
93,Mango,Oral Allergy Syndrome,165.0,163.35,Fruits,41.25,0.66,0.165,1.32,4.29,0.0,1.65,37.95,457.05,29.7,33.0,60.06,178.2,1.485,6.93,18.15,0.33,0.132,165.0,99.0,25.0,0.4,0.1,0.8,2.6,0.0,1.0,23.0,277.0,18.0,20.0,36.4,107.99999999999999,0.9000000000000001,4.199999999999999,10.999999999999998,0.2,0.08
105,Onion,Allium Allergy,110.0,44.0,Vegetables,10.23,0.11,0.0,1.21,1.87,0.0,4.4,4.62,160.6,11.0,31.9,8.14,0.0,0.022,0.44,25.3,0.231,0.187,110.0,40.0,9.3,0.1,0.0,1.0999999999999999,1.7000000000000002,0.0,4.0,4.2,146.0,10.0,28.999999999999996,7.400000000000001,0.0,0.019999999999999997,0.4,23.0,0.21000000000000002,0.16999999999999998
106,Orange,Citrus Allergy,154.0,72.38,Fruits,18.48,16.94,0.0,1.386,4.774,0.0,0.0,13.86,278.74,15.4,21.56,81.928,346.5,0.2772,0.0,6.16,0.154,0.1232,154.0,47.0,12.000000000000002,11.000000000000002,0.0,0.8999999999999999,3.1,0.0,0.0,9.0,181.0,10.0,13.999999999999998,53.2,225.0,0.18,0.0,4.0,0.1,0.08
108,Papaya,Oral Allergy Syndrome,140.0,77.0,Fruits,19.6,0.28,0.14,1.26,3.5,0.0,11.2,15.4,254.8,28.0,28.0,85.26,459.2,0.42,2.38,28.0,0.42,0.14,140.0,55.00000000000001,14.000000000000002,0.2,0.1,0.8999999999999999,2.5,0.0,8.0,11.0,182.0,20.0,20.0,60.9,328.0,0.3,1.6999999999999997,20.0,0.3,0.1
113,Peanut,Peanut Allergy,28.35,160.74,Healthy Fats,4.572855,13.95954,1.78038,7.3143,2.40975,0.0,5.103,1.33812,199.8675,47.628,106.596,0.0,0.0,26.082,1.29843,0.927045,2.361555,0.25515,28.35,566.984126984127,16.129999999999995,49.24,6.279999999999999,25.8,8.5,0.0,18.0,4.72,705.0,168.0,376.0,0.0,0.0,92.0,4.579999999999999,3.27,8.33,0.8999999999999999
114,Pear,Oral Allergy Syndrome,178.0,101.46,Fruits,26.7,0.178,0.0,1.068,5.518,0.0,1.78,17.8,370.24,12.46,28.48,7.654,0.0,0.178,8.01,16.02,0.356,0.178,178.0,56.99999999999999,15.0,0.1,0.0,0.6,3.1,0.0,1.0,10.0,208.0,7.000000000000001,16.0,4.3,0.0,0.1,4.5,9.0,0.2,0.1
115,Peas,Legume Allergy,85.0,68.85,Vegetables,11.9,0.34,0.085,4.59,4.42,0.0,3.4,4.845,207.4,28.05,91.8,21.08,649.4,0.1105,20.4,21.25,1.275,1.054,85.0,81.0,14.000000000000002,0.4,0.1,5.4,5.2,0.0,4.0,5.699999999999999,244.0,33.0,108.0,24.799999999999997,764.0,0.13,24.0,25.0,1.5,1.2400000000000002
116,Peas,Legume Allergy,85.0,68.85,Vegetables,11.9,0.34,0.085,4.59,4.42,0.0,3.4,4.845,207.4,28.05,91.8,21.08,649.4,0.1105,20.4,21.25,1.275,1.054,85.0,81.0,14.000000000000002,0.4,0.1,5.4,5.2,0.0,4.0,5.699999999999999,244.0,33.0,108.0,24.799999999999997,764.0,0.13,24.0,25.0,1.5,1.2400000000000002
117,Pecan,Nut Allergy,28.35,195.89,Healthy Fats,3.92931,20.4035,1.75203,2.599695,2.7216,0.0,0.0,1.125495,116.235,34.3035,78.5295,0.31185,15.876,19.845,0.717255,1.284255,1.601775,0.99225,28.35,690.9700176366842,13.86,71.9700176366843,6.18,9.17,9.6,0.0,0.0,3.9699999999999993,409.99999999999994,121.0,277.0,1.0999999999999999,55.99999999999999,70.0,2.53,4.529999999999999,5.6499999999999995,3.4999999999999996
122,Pineapple,Oral Allergy Syndrome,165.0,82.5,Fruits,21.45,0.165,0.0,0.825,2.31,0.0,3.3,16.5,297.0,33.0,21.45,78.87,95.7,0.033,1.155,21.45,0.495,0.198,165.0,50.0,13.0,0.1,0.0,0.5,1.4000000000000001,0.0,2.0,10.0,180.0,20.0,13.0,47.800000000000004,58.00000000000001,0.02,0.7000000000000001,13.0,0.3,0.12000000000000001
123,Popcorn,Corn Allergy,24.0,92.88,Grains,18.72,0.96,0.168,3.12,3.84,0.0,0.48,0.072,59.52,27.36,21.36,0.0,0.0,2.4,0.6504,0.2232,0.0696,0.0,24.0,386.99999999999994,77.99999999999999,4.0,0.7000000000000001,13.0,16.0,0.0,2.0,0.3,248.0,113.99999999999999,89.0,0.0,0.0,10.0,2.71,0.93,0.29,0.0
124,Potato,Potato Allergy,173.0,133.21,Vegetables,29.41,0.173,0.0,3.46,3.806,0.0,10.38,1.384,728.33,46.71,76.12,34.081,0.0,0.5017,3.46,20.76,1.038,0.4844,173.0,77.0,17.0,0.1,0.0,2.0,2.1999999999999997,0.0,6.000000000000001,0.8,421.0,27.0,44.0,19.7,0.0,0.29000000000000004,2.0,12.000000000000002,0.6,0.27999999999999997
126,Pumpkin,No allergy,116.0,30.16,Vegetables,7.54,0.116,0.0,1.16,0.58,0.0,1.16,3.248,394.4,13.92,24.36,11.02,987.16,0.5104,1.276,24.36,0.232,0.174,116.0,26.0,6.5,0.1,0.0,0.9999999999999999,0.49999999999999994,0.0,0.9999999999999999,2.8000000000000003,340.0,12.0,21.0,9.5,851.0,0.43999999999999995,1.0999999999999999,21.0,0.2,0.15
132,Raspberry,Salicylate Allergy,123.0,63.96,Fruits,14.76,0.861,0.0,1.476,7.995,0.0,1.23,6.15,228.78,19.68,36.9,32.226,31.98,1.107,9.594,27.06,0.861,0.492,123.0,52.0,12.0,0.7000000000000001,0.0,1.2,6.5,0.0,1.0,5.0,186.0,16.0,30.0,26.200000000000003,26.0,0.8999999999999999,7.8,22.0,0.7000000000000001,0.4
152,Spinach,Histamine Allergy,30.0,6.9,Vegetables,1.08,0.12,0.03,0.87,0.66,0.0,6.9,0.12,167.4,23.7,14.7,8.43,140.7,0.15,43.2,29.7,0.243,0.159,30.0,23.0,3.6000000000000005,0.4,0.1,2.9000000000000004,2.2,0.0,23.0,0.4,558.0,78.99999999999999,49.0,28.099999999999998,468.99999999999994,0.5,144.00000000000003,99.0,0.8099999999999999,0.53
154,Strawberry,Salicylate Allergy,140.0,68.6,Fruits,16.8,0.7,0.0,1.4,4.2,0.0,1.4,9.8,208.6,21.0,33.6,82.32,16.8,0.406,3.08,22.4,0.574,0.196,140.0,48.99999999999999,12.000000000000002,0.5,0.0,1.0,3.0000000000000004,0.0,1.0,7.000000000000001,149.0,15.0,24.000000000000004,58.8,12.000000000000002,0.29000000000000004,2.2,16.0,0.4099999999999999,0.13999999999999999
177,Watercress,No allergy,100.0,11.0,Vegetables,1.3,0.1,0.0,2.3,0.5,0.0,41.0,0.2,330.0,21.0,40.0,43.0,319.0,0.5,250.0,120.0,0.2,0.2,100.0,11.0,1.3,0.1,0.0,2.3,0.5,0.0,41.0,0.2,330.0,21.0,40.0,43.0,319.0,0.5,250.0,120.0,0.2,0.2
182,Yam,Potato Allergy,100.0,118.0,Vegetables,27.9,0.2,0.1,1.5,4.1,0.0,9.0,0.5,816.0,21.0,55.0,17.1,0.0,0.7,1.8,17.0,0.5,0.2,100.0,118.0,27.9,0.2,0.1,1.5,4.1,0.0,9.0,0.5,816.0,21.0,55.00000000000001,17.1,0.0,0.7,1.8000000000000003,17.0,0.5,0.2
184,Black Chokeberry,No allergy,143.0,71.5,Fruits,17.16,0.715,0.0,1.43,4.29,0.0,1.43,4.29,1082.51,41.47,42.9,41.899,1258.4,2.431,1.287,77.22,2.288,1.0868,143.0,50.0,12.0,0.5,0.0,1.0,3.0,0.0,1.0,3.0,757.0,28.999999999999996,30.0,29.299999999999997,880.0000000000001,1.7000000000000002,0.8999999999999999,54.0,1.6,0.76
185,Blackberries,No allergy,144.0,89.28,Fruits,20.16,1.008,0.0,2.88,11.52,0.0,1.44,10.08,335.52,28.8,31.68,30.24,308.16,1.2528,28.512,41.76,0.8928,0.7632,144.0,62.0,14.000000000000002,0.7000000000000001,0.0,2.0,8.0,0.0,1.0,7.000000000000001,233.0,20.0,22.0,21.0,214.0,0.8699999999999999,19.8,28.999999999999996,0.6200000000000001,0.53
186,Blueberries,No allergy,148.0,84.36,Fruits,20.72,1.036,0.0,1.036,3.552,0.0,1.48,14.8,168.72,10.36,19.24,14.356,79.92,0.8436,28.564,8.88,0.444,0.2368,148.0,56.99999999999999,13.999999999999998,0.7000000000000001,0.0,0.7000000000000001,2.4,0.0,1.0,10.0,113.99999999999999,6.999999999999999,12.999999999999998,9.700000000000001,54.0,0.5700000000000001,19.3,6.000000000000001,0.3,0.16
187,Cantaloupe,No allergy,134.0,64.32,Fruits,16.08,0.402,0.134,1.072,2.144,0.0,32.16,14.74,357.78,20.1,22.78,49.178,4531.88,0.067,3.35,12.06,0.268,0.1876,134.0,47.99999999999999,11.999999999999998,0.3,0.1,0.8,1.6,0.0,23.999999999999996,11.0,267.0,15.000000000000002,17.0,36.7,3382.0,0.05,2.5,9.000000000000002,0.2,0.13999999999999999
188,Date Palm,No allergy,24.0,15.84,Fruits,4.32,0.048,0.0,0.192,0.384,0.0,0.0,3.84,40.08,3.36,14.88,0.528,35.76,0.012,0.648,4.8,0.216,0.036,24.0,66.0,18.000000000000004,0.2,0.0,0.8,1.6,0.0,0.0,16.0,167.0,13.999999999999998,62.0,2.2,149.0,0.05,2.7,20.0,0.8999999999999999,0.15
189,Durian,No allergy,243.0,867.51,Fruits,157.95,31.59,10.692,8.748,22.356,0.0,4.86,65.61,2573.37,221.13,274.59,47.871,106.92,3.5964,6.804,14.58,3.5721,0.6804,243.0,357.0,64.99999999999999,13.0,4.3999999999999995,3.5999999999999996,9.200000000000001,0.0,2.0,27.0,1059.0,91.0,112.99999999999999,19.7,44.0,1.48,2.8000000000000003,6.0,1.47,0.27999999999999997
190,Elderberry,No allergy,145.0,105.85,Fruits,26.1,0.725,0.0,1.015,10.15,0.0,8.7,14.5,588.7,26.1,43.5,52.2,1261.5,1.45,10.15,55.1,0.725,0.1595,145.0,73.0,18.000000000000004,0.5,0.0,0.7,7.000000000000001,0.0,6.0,10.0,406.00000000000006,18.000000000000004,30.0,36.00000000000001,869.9999999999999,1.0,7.000000000000001,38.0,0.5,0.11
191,Golden berries,No allergy,140.0,103.6,Fruits,22.4,0.98,0.0,3.5,7.0,0.0,2.8,15.4,793.8,42.0,71.4,15.4,3500.0,1.022,42.0,35.0,1.82,1.4,140.0,74.0,16.0,0.7000000000000001,0.0,2.5,5.0,0.0,2.0,11.0,567.0,30.0,51.0,11.0,2500.0,0.73,30.0,25.0,1.3,1.0
192,Gooseberries,No allergy,150.0,99.0,Fruits,22.5,0.9,0.0,2.25,9.0,0.0,3.0,12.0,297.0,25.5,43.5,41.55,435.0,0.285,41.55,49.5,0.465,0.435,150.0,66.0,15.0,0.6,0.0,1.5,6.0,0.0,2.0,8.0,198.0,17.0,28.999999999999996,27.699999999999996,290.0,0.18999999999999997,27.699999999999996,33.0,0.31000000000000005,0.29
193,Grapes,No allergy,92.0,63.48,Fruits,16.56,0.184,0.092,0.644,0.736,0.0,0.92,13.8,161.92,6.44,18.4,2.944,2.76,0.1748,13.432,9.2,0.276,0.1012,92.0,69.0,18.0,0.2,0.1,0.7000000000000001,0.8,0.0,1.0,15.0,175.99999999999997,7.000000000000001,20.0,3.2,3.0,0.19000000000000003,14.6,10.0,0.3,0.11
194,Jackfruit,No allergy,165.0,155.1,Fruits,39.6,0.99,0.495,2.475,4.29,0.0,4.95,31.35,739.2,59.4,100.65,22.77,181.5,0.561,5.445,56.1,0.3795,0.693,165.0,94.0,24.000000000000004,0.6,0.3,1.5000000000000002,2.6,0.0,3.0000000000000004,19.0,448.00000000000006,36.0,61.0,13.799999999999999,110.00000000000001,0.34,3.3000000000000003,34.0,0.22999999999999998,0.42
195,Jujube,No allergy,28.35,22.39,Fruits,5.67,0.0567,0.0,0.3402,1.84275,0.0,0.8505,3.6855,70.875,2.835,6.5205,19.5615,0.0,0.031185,0.14175,6.5205,0.14175,0.02835,28.35,78.97707231040563,20.0,0.2,0.0,1.2,6.5,0.0,3.0,13.0,250.0,10.0,23.0,69.0,0.0,0.11,0.49999999999999994,23.0,0.49999999999999994,0.1
196,Juniper Berries,No allergy,6.0,0.18,Fruits,0.06,0.006,0.0,0.006,0.036,0.0,0.0,0.0,0.6,0.12,0.24,1.38,40.2,0.138,3.0,5.22,0.114,0.048,6.0,3.0,1.0,0.1,0.0,0.1,0.6,0.0,0.0,0.0,10.0,2.0,4.0,23.0,670.0,2.3000000000000003,50.0,87.0,1.9,0.8
197,Longan Fruit,No allergy,190.0,114.0,Fruits,28.5,0.19,0.0,2.47,2.09,0.0,1.9,26.6,505.4,19.0,47.5,161.31,0.0,0.19,0.0,1.9,0.19,0.19,190.0,60.0,15.0,0.1,0.0,1.3,1.0999999999999999,0.0,1.0,14.000000000000002,265.99999999999994,10.0,25.0,84.89999999999999,0.0,0.1,0.0,1.0,0.1,0.1
198,Lychee,No allergy,190.0,125.4,Fruits,32.3,0.76,0.19,3.04,2.47,0.0,1.9,28.5,324.9,15.2,58.9,135.85,0.0,0.19,0.0,9.5,0.57,0.19,190.0,66.0,17.0,0.4,0.1,1.6,1.3,0.0,1.0,15.0,171.0,8.0,31.0,71.5,0.0,0.1,0.0,5.0,0.3,0.1
199,Melon,No allergy,156.0,82.68,Fruits,20.28,0.468,0.0,2.028,2.184,0.0,17.16,18.72,421.2,21.84,34.32,57.252,162.24,0.156,9.828,14.04,0.312,0.312,156.0,53.0,13.0,0.3,0.0,1.3,1.4000000000000001,0.0,11.0,12.0,270.0,13.999999999999998,22.0,36.7,104.0,0.1,6.3,9.0,0.2,0.2
200,Mulberry,No allergy,140.0,60.2,Fruits,14.0,0.56,0.14,1.96,3.36,0.0,5.6,11.2,271.6,25.2,42.0,50.96,93.8,2.52,0.98,54.6,1.96,0.28,140.0,43.0,10.0,0.4,0.1,1.4000000000000001,2.4,0.0,4.0,8.0,194.00000000000003,18.0,30.0,36.4,67.0,1.7999999999999998,0.7000000000000001,39.0,1.4000000000000001,0.2
201,Nectarines,No allergy,142.0,85.2,Fruits,21.3,0.568,0.0,2.13,3.408,0.0,0.0,17.04,404.7,22.72,32.66,7.668,9.94,0.994,3.124,8.52,0.426,0.142,142.0,60.0,15.0,0.3999999999999999,0.0,1.5,2.4,0.0,0.0,12.0,285.0,16.0,23.0,5.4,6.999999999999999,0.7000000000000001,2.2,6.0,0.3,0.09999999999999998
202,Passion Fruit,No allergy,18.0,3.06,Fruits,0.72,0.018,0.0,0.144,0.342,0.0,0.0,0.36,12.24,0.9,1.98,5.4,22.86,0.018,0.0,2.16,0.288,0.018,18.0,17.0,4.0,0.1,0.0,0.8,1.9000000000000004,0.0,0.0,2.0,68.0,5.0,11.0,30.000000000000004,127.0,0.1,0.0,12.000000000000002,1.6,0.1
203,Persimmon,No allergy,168.0,198.24,Fruits,52.08,0.672,0.168,1.68,10.08,0.0,1.68,35.28,453.6,23.52,55.44,12.6,136.08,1.176,4.368,13.44,0.336,0.168,168.0,118.00000000000001,31.0,0.4,0.1,1.0,6.0,0.0,1.0,21.000000000000004,270.0,13.999999999999998,32.99999999999999,7.5,81.0,0.7,2.6,8.0,0.2,0.1
204,Plum,No allergy,66.0,30.36,Fruits,7.26,0.198,0.0,0.462,0.924,0.0,0.0,5.94,68.64,3.3,9.24,6.27,227.7,0.198,4.224,3.96,0.132,0.066,66.0,46.0,11.0,0.3,0.0,0.7000000000000001,1.4000000000000001,0.0,0.0,9.000000000000002,104.0,5.0,14.000000000000002,9.499999999999998,345.0,0.3,6.4,6.0,0.2,0.1
205,Pomegranate,No allergy,282.0,234.06,Fruits,53.58,3.384,0.564,4.794,11.28,0.0,8.46,36.66,939.06,101.52,101.52,28.764,0.0,1.692,46.248,28.2,0.846,0.564,282.0,83.0,19.0,1.2,0.19999999999999996,1.6999999999999997,4.0,0.0,3.0000000000000004,12.999999999999998,332.99999999999994,36.0,36.0,10.2,0.0,0.6,16.4,10.0,0.3,0.19999999999999996
206,Pomelo,No allergy,301.0,114.38,Fruits,28.896,0.301,0.0,2.408,3.913,0.0,3.01,19.565,951.16,51.17,72.24,183.61,346.15,0.602,1.505,12.04,0.301,0.301,301.0,38.0,9.6,0.1,0.0,0.8,1.3,0.0,0.9999999999999999,6.5,315.99999999999994,17.0,24.0,61.00000000000001,114.99999999999999,0.2,0.49999999999999994,3.9999999999999996,0.1,0.1
207,Rambutan,No allergy,9.0,6.21,Fruits,1.485,0.018,0.0,0.081,0.162,0.0,0.18,1.233,6.84,0.9,1.98,0.441,0.0,0.018,0.009,1.98,0.018,0.009,9.0,69.0,16.5,0.2,0.0,0.9000000000000001,1.8000000000000003,0.0,2.0,13.700000000000001,76.0,10.0,22.0,4.9,0.0,0.2,0.1,22.0,0.2,0.1
